fips_code,February,March,April,May,June,July,August,September,October,November
46009.0,0.0,1.0,4.0,8.0,11.0,13.0,52.0,91.0,994.0,1213.0
46011.0,0.0,1.0,13.0,16.0,62.0,113.0,321.0,779.0,1413.0,2025.0
46013.0,0.0,3.0,39.0,273.0,342.0,397.0,675.0,1240.0,2150.0,2847.0
46015.0,0.0,0.0,0.0,0.0,23.0,40.0,66.0,132.0,228.0,458.0
46017.0,0.0,0.0,1.0,17.0,71.0,106.0,110.0,140.0,266.0,331.0
46019.0,0.0,0.0,0.0,0.0,0.0,10.0,47.0,110.0,408.0,594.0
46021.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,36.0,80.0,93.0
46023.0,0.0,1.0,5.0,17.0,82.0,99.0,122.0,184.0,320.0,611.0
46025.0,0.0,1.0,1.0,4.0,15.0,16.0,19.0,43.0,139.0,186.0
46027.0,0.0,3.0,6.0,15.0,82.0,113.0,353.0,568.0,865.0,1117.0
46029.0,0.0,5.0,14.0,37.0,63.0,117.0,318.0,894.0,1598.0,2227.0
46031.0,0.0,0.0,1.0,4.0,18.0,26.0,58.0,92.0,227.0,319.0
46033.0,0.0,0.0,0.0,0.0,8.0,18.0,117.0,189.0,332.0,436.0
46035.0,0.0,2.0,5.0,16.0,41.0,86.0,136.0,329.0,753.0,1803.0
46037.0,0.0,0.0,1.0,13.0,16.0,21.0,37.0,84.0,141.0,196.0
46039.0,0.0,1.0,1.0,1.0,3.0,9.0,45.0,87.0,197.0,247.0
46041.0,0.0,0.0,0.0,0.0,4.0,58.0,79.0,158.0,403.0,693.0
46043.0,0.0,0.0,1.0,3.0,4.0,16.0,27.0,87.0,157.0,246.0
46045.0,0.0,0.0,0.0,1.0,7.0,13.0,31.0,98.0,150.0,208.0
46047.0,0.0,1.0,1.0,4.0,12.0,14.0,42.0,96.0,228.0,309.0
46049.0,0.0,1.0,1.0,1.0,23.0,26.0,32.0,74.0,220.0,258.0
46051.0,0.0,0.0,0.0,13.0,13.0,18.0,42.0,144.0,313.0,475.0
46053.0,0.0,0.0,0.0,1.0,3.0,7.0,22.0,136.0,248.0,362.0
46055.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,27.0,102.0,118.0
46057.0,0.0,1.0,2.0,4.0,11.0,14.0,57.0,101.0,166.0,309.0
46059.0,0.0,0.0,1.0,2.0,7.0,7.0,15.0,47.0,119.0,214.0
46061.0,0.0,0.0,0.0,0.0,7.0,20.0,23.0,42.0,107.0,189.0
46063.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,57.0,65.0
46065.0,0.0,1.0,8.0,19.0,55.0,83.0,133.0,459.0,888.0,1298.0
46067.0,0.0,2.0,3.0,5.0,12.0,26.0,41.0,105.0,245.0,420.0
46069.0,0.0,0.0,1.0,1.0,3.0,3.0,7.0,20.0,48.0,99.0
46071.0,0.0,0.0,0.0,4.0,6.0,8.0,12.0,36.0,135.0,180.0
46073.0,0.0,0.0,6.0,35.0,39.0,39.0,40.0,96.0,167.0,197.0
46075.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,32.0,46.0
46077.0,0.0,1.0,0.0,1.0,6.0,12.0,23.0,59.0,210.0,340.0
46079.0,0.0,0.0,4.0,8.0,21.0,78.0,117.0,201.0,423.0,688.0
46081.0,0.0,6.0,9.0,11.0,19.0,26.0,225.0,428.0,1021.0,1644.0
46083.0,0.0,5.0,147.0,238.0,343.0,542.0,907.0,1408.0,3097.0,4466.0
46085.0,0.0,1.0,3.0,14.0,62.0,87.0,105.0,165.0,286.0,372.0
46087.0,0.0,2.0,4.0,6.0,10.0,24.0,52.0,106.0,225.0,475.0
46089.0,0.0,0.0,1.0,1.0,4.0,6.0,10.0,36.0,72.0,101.0
46091.0,0.0,1.0,1.0,4.0,5.0,8.0,19.0,43.0,65.0,113.0
46093.0,0.0,1.0,1.0,19.0,48.0,71.0,300.0,560.0,1015.0,1419.0
